seed_company,related_company,final_label,final_confidence,agreement_count,num_models,final_status,needs_human_review,evidence_urls,summary
Axsome Therapeutics,Jazz Pharmaceuticals plc,None/Unclear,1.0,3,3,needs_human_review,True,https://axsometherapeuticsinc.gcs-web.com/node/10236/pdf | https://investor.jazzpharma.com/node/19196/pdf | https://www.jazzpharma.com/news-releases/news-release-details/jazz-pharmaceuticals-completes-us-divestiture-sunosir-solriamfetol | https://axsome.com/investors/press-releases/press-release-details/2022/Axsome-Therapeutics-to-Acquire-Sunosi-from-Jazz-Pharmaceuticals-Expanding-Axsomes-Leadership-in-Neuroscience/default.aspx | https://investor.jazzpharma.com/news-releases/news-release-details/jazz-pharmaceuticals-announces-agreement-divest-sunosir/ | https://investor.jazzpharma.com/news-releases/news-release-details/jazz-pharmaceuticals-completes-us-divestiture-sunosir/,"Official company materials show Axsome Therapeutics acquired the SUNOSI product from Jazz Pharmaceuticals in 2022, but neither company acquired, merged with, or became a subsidiary of the other. This is an asset/product divestiture transaction, so the company-to-company relationship is best classified as None/Unclear under the provided rules."
Axsome Therapeutics,Takeda Pharmaceutical Company,None/Unclear,1.0,3,3,needs_human_review,True,https://www.globenewswire.com/news-release/2026/04/01/3266474/33090/en/Axsome-Therapeutics-Acquires-Selective-PDE10A-Inhibitor-Balipodect-for-the-Treatment-of-Schizophrenia-and-Other-Neuropsychiatric-Conditions.html | https://axsometherapeuticsinc.gcs-web.com/static-files/2c798336-e9a6-4bc9-a68d-e14707da25e0 | https://www.globenewswire.com/news/release/2026/04/01/axsome-therapeutics-acquires-selective-pde10a-inhibitor-balipodect-for-the-treatment-of-schizophrenia-and-other-neuropsychiatric-conditions.html | https://www.sidley.com/en/news/2026/04/sidley-represents-axsome-therapeutics-in-its-acquisition-of-global-rights-to-balipodect-from-takeda | https://www.globenewswire.com/news-release/2026/04/01/3266474/0/en/Axsome-Therapeutics-Acquires-Selective-PDE10A-Inhibitor-Balipodect-for-the-Treatment-of-Schizophrenia-and-Other-Neuropsychiatric-Conditions.html,"Current official-source evidence shows a transaction in which Axsome obtained exclusive global rights to balipodect (TAK-063) from Takeda under an asset purchase agreement, with Takeda receiving upfront, milestone, and royalty payments. This is an asset/licensing-style deal, not a company acquisition, merger, or parent-subsidiary relationship between Axsome and Takeda."
Axsome Therapeutics,Axsome Malta Ltd.,Subsidiary,1.0,3,3,accepted_by_consensus,False,https://www.sec.gov/Archives/edgar/data/1579428/000095017023004728/axsm-ex21_1.htm | https://www.sec.gov/Archives/edgar/data/1579428/000095017025058788/axsm_fy2024_ars.pdf | https://www.sec.gov/Archives/edgar/data/1579428/000157942823000011/axsm-20230221.htm | https://fintel.io/doc/sec-axsome-therapeutics-inc-1579428-ex211-2024-february-23-19776-3532 | https://www.sec.gov/Archives/edgar/data/1579428/000095017023003568/axsm-20230221.htm | https://www.sec.gov/Archives/edgar/data/1579428/000095017024019118/axsm-ex21_1.htm,"SEC-filed subsidiary lists for Axsome Therapeutics include Axsome Malta Ltd., and Axsome Therapeutics' 2024 annual report describes Axsome Malta as a wholly-owned subsidiary of the company."
Axsome Therapeutics,"Axsome Therapeutics, Limited",Subsidiary,1.0,3,3,accepted_by_consensus,False,https://www.sec.gov/Archives/edgar/data/1579428/000095017023004728/axsm-ex21_1.htm | https://www.annualreports.com/HostedData/AnnualReportArchive/a/NASDAQ_AXSM_2023.pdf | https://www.sec.gov/Archives/edgar/data/1579428/000157942824000010/ex-211.htm | https://fintel.io/doc/sec-axsome-therapeutics-inc-1579428-ex211-2024-february-23-19776-353 | https://www.sec.gov/Archives/edgar/data/1579428/000095017024019118/axsm-ex21_1.htm | https://www.sec.gov/Archives/edgar/data/1579428/000155837020012949/axsm-20200930xex10d3.htm,"Current and historical SEC Exhibit 21.1 subsidiary lists for Axsome Therapeutics, Inc. identify ""Axsome Therapeutics, Limited"" as a subsidiary in Ireland. This is strong official evidence of a parent-subsidiary relationship."
Axsome Therapeutics,"Baergic Bio, Inc.",Acquisition,1.0,3,3,accepted_by_consensus,False,https://www.globenewswire.com/news-release/2025/11/06/3182362/33090/en/Axsome-Therapeutics-Acquires-Subtype-Selective-GABA-A-Receptor-Positive-Allosteric-Modulator-AZD7325-for-the-Treatment-of-Epilepsy.html | https://rss.globenewswire.com/de/news-release/2025/11/06/3182367/0/en/Avenue-Therapeutics-Announces-Acquisition-of-Subsidiary-Baergic-Bio-by-Axsome-Therapeutics.html | https://www.sec.gov/Archives/edgar/data/0001644963/000110465925121247/tm2533381d1_posam.htm | https://www.globenewswire.com/news-release/2025/11/06/2976123/0/en/Axsome-Therapeutics-Acquires-Subtype-Selective-GABA-A-Receptor-Positive-Allosteric-Modulator-AZD7325-for-the-Treatment-of-Epilepsy.html | https://www.avenuetx.com/news-releases/news-release-details/avenue-therapeutics-announces-acquisition-subsidiary-baergic-bio | https://ir.avenuetx.com/news-events/press-releases/detail/98/avenue-therapeutics-announces-acquisition-of-subsidiary | https://www.globenewswire.com/news-release/2025/11/06/3182362/0/en/Axsome-Therapeutics-Acquires-Subtype-Selective-GABA-A-Receptor-Positive-Allosteric-Modulator-AZD7325-for-the-Treatment-of-Epilepsy.html,"Current official disclosures state that Axsome Therapeutics acquired 100% of the equity of Baergic Bio, Inc. in November 2025. Avenue Therapeutics and SEC filings describe Baergic Bio as having been acquired by Axsome, making the relationship an acquisition."
Axsome Therapeutics,Axsome Therapeutics Australia Pty Ltd.,Subsidiary,1.0,3,3,accepted_by_consensus,False,https://www.sec.gov/Archives/edgar/data/1579428/000095017024019118/axsm-ex21_1.htm | https://www.sec.gov/Archives/edgar/data/1579428/000095017023004728/axsm-ex21_1.htm | https://axsometherapeuticsinc.gcs-web.com/static-files/5eeaced6-f025-4a6a-96ee-32064fd787bd | https://www.sec.gov/Archives/edgar/data/1621832/000162183224000011/ex-21_1.htm | https://fintel.io/doc/sec-axsome-therapeutics-inc-1621832-ex211-2024-february-23-19776-3532 | https://www.morningstar.com.au/stocks/nasdaq/axsm/profile | https://axsometherapeuticsinc.gcs-web.com/static-files/4eaeae7e-0e26-44b1-a081-40a84aaf61e5,"Current and historical SEC filings for Axsome Therapeutics list Axsome Therapeutics Australia Pty Ltd as a subsidiary of the company, and a 2022 company filing also explicitly defines it as the ""Australian Subsidiary."""
Axsome Therapeutics,"Axsome Therapeutics, Limited (Ireland)",Subsidiary,1.0,3,3,accepted_by_consensus,False,https://www.sec.gov/Archives/edgar/data/1579428/000095017024019118/axsm-ex21_1.htm | https://www.sec.gov/Archives/edgar/data/1579428/000095017023004728/axsm-ex21_1.htm | https://www.sec.gov/Archives/edgar/data/1579428/000095017022006901/axsm-ex10_1.pdf | https://www.sec.gov/Archives/edgar/data/1579428/000157942824000011/ex-211.htm | https://www.vision-net.ie/Company-Info/Axsome-Therapeutics-Limited-645318 | https://www.vision-net.ie/Company-Info/Axsome-Therapeutics-Limited-644986,"Recent SEC Exhibit 21.1 filings for Axsome Therapeutics, Inc. list 'Axsome Therapeutics, Limited' in Ireland under 'Subsidiaries of the Company,' indicating the Ireland entity is a subsidiary of Axsome Therapeutics, Inc."
Axsome Therapeutics,Axsome International Holdings LLC,Subsidiary,1.0,3,3,accepted_by_consensus,False,https://www.sec.gov/Archives/edgar/data/1579428/000095017025058788/axsm_fy2024_ars.pdf | https://www.annualreports.com/HostedData/AnnualReportArchive/a/NASDAQ_AXSM_2022.pdf | https://www.sec.gov/Archives/edgar/data/1579428/000157942824000011/exhibit211subsidiariesofth.htm | https://fintel.io/doc/sec-axsome-therapeutics-inc-1579428-ex211-2024-february-23-19776-3501 | https://www.sec.gov/Archives/edgar/data/1579428/000119312526064267/axsm-ex21_1.htm | https://fintel.io/doc/sec-axsome-therapeutics-inc-1579428-ex211-2024-february-23-19776-4366,"Axsome Therapeutics, Inc.'s SEC annual report lists 'Axsome International Holdings LLC' in Exhibit 21.1 as one of the company's subsidiaries, which is direct official evidence of a parent-subsidiary relationship."
Axsome Therapeutics,Takeda Pharmaceutical,None/Unclear,1.0,3,3,needs_human_review,True,https://www.axsome.com/about-axsome | https://www.axsome.com/ | https://www.takeda.com/newsroom/newsreleases/2026/collaboration-and-license/ | https://www.takeda.com/newsroom/newsreleases/2024/takeda-and-protagonist-therapeutics-inc-enter-into-worldwide-license-and-collaboration-agreement-for-rusfertide-a-late-stage-rare-hematology-asset/ | https://www.investing.com/news/company-news/axsome-acquires-global-rights-to-balipodect-from-takeda-93CH-3361131 | https://www.stocktitan.net/news/AXSM/axsome-therapeutics-acquires-selective-pde-10-a-inhibitor-balipodect-v690769v6907.html | https://www.thepharmaletter.com/article/axsome-therapeutics-acquires-takeda-s-selective-pde10a-inhibitor-balipodect | https://www.globenewswire.com/news-release/2026/04/01/3266474/0/en/Axsome-Therapeutics-Acquires-Selective-PDE10A-Inhibitor-Balipodect-for-the-Treatment-of-Schizophrenia-and-Other-Neuropsychiatric-Conditions.html | https://www.sidley.com/en/newslanding/newsannouncements/2026/04/sidley-represents-axsome-therapeutics-in-its-acquisition-of-global-rights-to-balipodect-from-takeda,"Current official Axsome pages describe Axsome as an independent biopharmaceutical company, and current official Takeda news/partnership pages do not show Axsome as an acquired company, merger partner, or subsidiary. Search results also did not surface any official Axsome-Takeda acquisition, merger, or parent-subsidiary announcement. At most, any apparent connection is indirect or absent, so the relationship should be classified as None/Unclear."
Minerva Neurosciences,"Sonkei Pharmaceuticals, Inc.",Merger,1.0,3,3,accepted_by_consensus,False,https://www.sec.gov/Archives/edgar/data/1598646/000156459020009243/nerv-10k_20191231.htm | https://www.sec.gov/Archives/edgar/data/1598646/000104746914003612/a2219290zs-1.htm | https://www.prnewswire.com/news-releases/minerva-neurosciences-launches-new-web-site-following-transfer-of-corporate-headquarters-to-cambridge-and-expansion-of-leadership-team-248564081.html | https://www.sec.gov/Archives/edgar/data/1598646/000119312514231348/d716531ds1a.htm | https://www.prnewswire.com/news-releases/minerva-neurosciences-launches-new-web-site-following-transfer-of-corporate-headquarters-to-cambridge-and-expansion-of-leadership-team-248600011.html | https://ir.minervaneurosciences.com/static-files/ad224341-0989-4cf3-a267-8a1db9b87fe9 | https://ir.minervaneurosciences.com/static-files/a49066d0-bf3c-4f46-a03d-51ac15c73f27,"Official SEC filings state that in November 2013, Cyrenaic Pharmaceuticals, Inc. and Sonkei Pharmaceuticals, Inc. merged, and the combined company was renamed Minerva Neurosciences, Inc. This supports a merger relationship rather than an acquisition or subsidiary structure."
